Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"Mathematics and Statistics",FA,"STAT",143,D,100,4, 4,"Deleted","MWF","4:00PM - 5:05PM",9/3/24,12/19/24,Full,"Deleted","","4:00 PM","65","5:05 PM","Introduction to Probability and Statistics","Deleted","","","In-Person","","","2025-01-24T08:36:36-05:00"
"Mathematics and Statistics",SP,"STAT",143,D,100,4, 4,"NH 295","MWF","12:15PM - 1:20PM",9/3/24,12/19/24,Full,"NH","295","12:15 PM","65","1:20 PM","Introduction to Probability and Statistics","Staff","","","In-Person","","","2025-02-24T15:47:47-05:00"
"Mathematics and Statistics",FA,"STAT",143,E,100,4, 4,"NH 295","MWF","11:00AM - 12:05PM",9/3/24,12/19/24,Full,"NH","295","11:00 AM","65","12:05 PM","Introduction to Probability and Statistics","Dave Klanderman","","Lecture","In-Person","","",""
"Mathematics and Statistics",SP,"STAT",143,E,100,4, 4,"NH 295","MWF","1:30PM - 2:35PM",9/3/24,12/19/24,Full,"NH","295","1:30 PM","65","2:35 PM","Introduction to Probability and Statistics","Joyce Chew","","","In-Person","","","2025-01-24T08:27:37-05:00"
"Mathematics and Statistics",FA,"STAT",143,F,100,4, 4,"NH 295","MWF","2:45PM - 3:50PM",9/3/24,12/19/24,Full,"NH","295","2:45 PM","65","3:50 PM","Introduction to Probability and Statistics","Joyce Chew","","","In-Person","","","2025-01-24T08:32:20-05:00"
"Mathematics and Statistics",SP,"STAT",143,F,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",9/3/24,12/19/24,Full,"NH","295","8:00 AM","65","9:05 AM","Introduction to Probability and Statistics","Mike Bolt","","","In-Person","","","2025-01-24T08:16:43-05:00"
"Mathematics and Statistics",FA,"STAT",145,A,100,4, 4,"NH 259","MWF","9:15AM - 10:20AM",9/3/24,12/19/24,Full,"NH","259","9:15 AM","65","10:20 AM","Biostatistics","Thomas Scofield","","Lecture","In-Person","","",""
"Mathematics and Statistics",SP,"STAT",145,A,100,4, 4,"NH 276","MWF","11:00AM - 12:05PM",,,Full,"NH","276","11:00 AM","65","12:05 PM","Biostatistics","Randall Pruim","","","In-Person","","","2025-01-23T18:05:33-05:00"
"Mathematics and Statistics",SP,"STAT",241,A,200,2, 2,"NH 259","MWF","12:15PM - 1:20PM",,,First,"NH","259","12:15 PM","65","1:20 PM","Engineering Statistics","Todd Kapitula","","","In-Person","","","2025-01-23T18:13:16-05:00"
"Mathematics and Statistics",SP,"STAT",241,B,200,2, 2,"NH 259","MWF","1:30PM - 2:35PM",,,Second,"NH","259","1:30 PM","65","2:35 PM","Engineering Statistics","Todd Kapitula","","","In-Person","","","2025-01-23T18:09:49-05:00"
"Mathematics and Statistics",SP,"STAT",241,C,200,2, 2,"Deleted","MWF","4:00PM - 5:05PM",9/3/24,12/19/24,Full,"Deleted","","4:00 PM","65","5:05 PM","Engineering Statistics","Deleted","","","In-Person","","","2025-01-24T08:21:41-05:00"
"Mathematics and Statistics",SP,"STAT",243,A,200,4, 4,"NH 259","MWF","8:00AM - 9:05AM",9/3/24,12/19/24,Full,"NH","259","8:00 AM","65","9:05 AM","Statistics","Thomas Scofield","","Lecture","In-Person","","",""
"Mathematics and Statistics",SP,"STAT",243,B,200,4, 4,"NH 259","MWF","9:15AM - 10:20AM",9/3/24,12/19/24,Full,"NH","259","9:15 AM","65","10:20 AM","Statistics","Thomas Scofield","","","In-Person","","","2025-01-23T17:55:07-05:00"
"Mathematics and Statistics",FA,"STAT",245,A,200,4, 4,"Deleted","TTH","4:00PM - 5:40PM",,,Full,"Deleted","","4:00 PM","100","5:40 PM","Applied Data Analysis","Deleted","","","In-Person","","","2025-01-24T08:36:10-05:00"
"Mathematics and Statistics",SP,"STAT",245,A,200,4, 4,"SB 343","TTH","12:15PM - 1:55PM",,,Full,"SB","343","12:15 PM","100","1:55 PM","Applied Data Analysis","Randall Pruim","","","In-Person","","","2025-01-09T16:02:05-05:00"
"Mathematics and Statistics",FA,"STAT",343,A,300,4, 4,"NH 276","MWF","12:15PM - 1:20PM",9/3/24,12/19/24,Full,"NH","276","12:15 PM","65","1:20 PM","Probability and Statistics","Randall Pruim","","","In-Person","","","2025-01-23T16:45:33-05:00"
"Mathematics and Statistics",SP,"STAT",344,A,300,4, 4,"NH 276","MWF","2:45PM - 3:50PM",,,Full,"NH","276","2:45 PM","65","3:50 PM","Mathematical Statistics","Joyce Chew","","","In-Person","","","2025-01-23T18:07:39-05:00"
"Student Success",FA,"ASC",111,B,100,2, 2,"HH 316/323","MWF","1:30PM - 2:35PM",,,First,"HH","316/323","1:30 PM","65","2:35 PM","Academic Transitions","Jenny Griffin","","","In-Person","","time change b/c of SCES","2025-02-24T16:28:55-05:00"
"Student Success",SP,"ASC",111,B,100,2, 2,"NH 295","TTH","12:15PM - 1:55PM",,,First,"NH","295","12:15 PM","100","1:55 PM","Academic Transitions","Jenny Griffin","","","In-Person","","change time to avoid instructor conflict","2025-02-24T13:50:39-05:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Joyce Chew","","Kuiper Seminar","","","","2025-01-09T15:20:37-05:00"
"",FA,"",,,,0, 12,"","","",,,Full,"","","","","","","Stacy DeRuiter","","Sabbatical","","","","2025-01-09T16:06:03-05:00"
"",FA,"",,,,0, 12,"","","",,,Full,"","","","","","","Nathan Sunukjian","","Sabbatical","","","","2025-01-09T16:06:49-05:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Mike Bolt","","Chair","","","","2025-01-09T16:10:17-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Joyce Chew","","Kuiper Seminar","","","","2025-01-09T15:20:51-05:00"
"",SP,"",,,,0, 12,"","","",,,Full,"","","","","","","Stacy DeRuiter","","Sabbatical","","","","2025-01-09T16:06:22-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Mike Bolt","","Chair","","","","2025-01-09T16:10:37-05:00"
"","FA, SP","",,,,, 2,"","","",,,,"","","","","","","Randall Pruim","","Data Science Director","","","","2025-01-23T10:26:35-05:00"
"","SP","",,,,, 4,"","","",,,,"","","","","","","Jenny Griffin","","De Vries Faith & Learning Fellowship","","","","2025-01-23T11:38:26-05:00"
"Mathematics and Statistics",SP,"MATH",132,A,100,4, 4,"NH 276","TTH","12:15PM - 1:55PM",,,Full,"NH","276","12:15 PM","100","1:55 PM","Calculus for Management, Life, and Social Sciences","Mike Bolt","","","In-Person","","","2025-01-23T18:03:17-05:00"
"Mathematics and Statistics",SP,"MATH",301,A,300,4, 4,"NH 261","MWF","12:15PM - 1:20PM",,,Full,"NH","261","12:15 PM","65","1:20 PM","Geometry","James Turner","","","In-Person","","","2025-01-09T16:24:51-05:00"
"Mathematics and Statistics",FA,"MATH",362,A,300,4, 4,"NH 261","MWF","11:00AM - 12:05PM",,,Full,"NH","261","11:00 AM","65","12:05 PM","Real Analysis II","Mike Bolt","","","In-Person","","","2025-01-23T16:45:19-05:00"
