Academic Period,Course,Course Section,Section Status,Semester Hours,Instructors,Meeting Patterns,Current Section Capacity,Enrollment Count,Waitlist Count,COURSE Capacity,Start Date,End Date,Location 1,Location 1 Capacity,Location 2,Location 2 Capacity,Instructional Format
2024 Spring,CS 232 - Operating Systems and Networking,CS 232-A - Operating Systems and Networking,Open,4,Victor Norman,MWF | 8:00 - 9:05,30,0,0,30,2024/1/16,2024/5/4,Science Building 343,60,,0,Lecture
2024 Spring,CS 232 - Operating Systems and Networking,CS 232-B - Operating Systems and Networking,Open,4,Victor Norman,MWF | 9:15 - 10:20,30,0,0,30,2024/1/16,2024/5/4,North Hall 064 - Classroom,46,,0,Lecture
2023 Fall,CS 262 - Software Engineering,CS 262-A - Software Engineering,Open,4,Keith Vander Linden,"F | 13:30 - 15:50 | 08/28/2023 - 12/16/2023

MWF | 13:30 - 14:35 | 08/28/2023 - 12/16/2023",26,25,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2023 Fall,CS 262 - Software Engineering,CS 262-B - Software Engineering,Open,4,Keith Vander Linden,"F | 13:30 - 15:50 | 08/28/2023 - 12/16/2023

MWF | 14:45 - 15:50 | 08/28/2023 - 12/16/2023",26,13,0,30,2023/8/28,2023/12/16,Science Building 372 - PC Classroom,33,Science Building 382 - Classroom,30,Lecture
2023 Fall,CS 295 - Computing Seminar,CS 295-A - Computing Seminar,Open,0,Harry Plantinga,T | 15:05 - 15:55 | 08/28/2023 - 12/16/2023,60,48,0,60,2023/8/28,2023/12/16,Science Building 010 - Lecture Hall,182,,0,Seminar
2024 Spring,CS 295 - Computing Seminar,CS 295-A - Computing Seminar,Open,0,Harry Plantinga,T | 15:05 - 15:55 | 01/16/2024 - 05/04/2024,60,0,0,60,2024/1/16,2024/5/4,Science Building 382 - Classroom,30,,0,Seminar
2023 Fall,CS 332 - Advanced Computer Networks,CS 332-A - Advanced Computer Networks,Open,2,Victor Norman,MWF | 9:15 - 10:20,30,12,0,30,2023/8/28,2023/10/21,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 338 - System Administration: Infrastructure,CS 338-A - System Administration: Infrastructure,Open,2,Chris Wieringa,MWF | 8:00 - 9:05,30,0,0,30,2024/1/15,2024/3/9,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 339 - System Administration: Cloud Services,CS 339-A - System Administration: Cloud Services,Open,2,Chris Wieringa,MWF | 8:00 - 9:05,30,0,0,30,2024/3/11,2024/5/4,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 354 - Database Management Systems,CS 354-A - Database Management Systems,Open,2,Patrick Bailey,TTH | 8:00 - 9:40,30,0,0,30,2024/3/11,2024/5/4,Science Building 382 - Classroom,30,,0,Lecture
